Ê±¼ä            Î¢Ñ¹²î
 .1           -336 
 .2           -336 
 .4           -336 
 .7           -340 
 .8           -341 
 1            -346 
 1.1          -347 
 1.3          -352 
 1.5          -353 
 1.6          -358 
 1.9          -359 
 2            -362 
 2.1          -363 
 2.2          -367 
 2.4          -369 
 2.5          -370 
 2.7          -373 
 2.9          -375 
 3            -378 
 3.1          -380 
 3.2          -380 
 3.4          -380 
 3.5          -361 
 3.6          -335 
 3.7          -335 
 3.9          -335 
 4            -335 
 4.2          -340 
 4.4          -343 
 4.6          -348 
 4.7          -349 
 5            -353 
 5.2          -355 
 5.4          -360 
 5.6          -364 
 5.7          -366 
 5.9          -368 
 6.1          -371 
 6.2          -371 
 6.4          -375 
 6.6          -377 
 6.7          -379 
 6.9          -379 
 7.1          -339 
 7.3          -337 
 7.4          -337 
 7.6          -337 
 7.7          -338 
 7.9          -344 
 8.1          -345 
 8.3          -349 
 8.5          -354 
 8.7          -356 
 8.8          -358 
 9            -362 
 9.3          -365 
 9.5          -368 
 9.7          -371 
 9.8          -373 
 10           -375 
 10.2         -379 
 10.3         -379 
 10.5         -379 
 10.7         -375 
 10.8         -346 
 11           -337 
 11.2         -337 
 11.3         -340 
 11.5         -340 
 11.7         -347 
 11.8         -348 
 12           -353 
 12.2         -355 
 12.3         -359 
 12.5         -360 
 12.7         -364 
 12.8         -364 
 13           -366 
 13.2         -370 
 13.3         -370 
 13.5         -374 
 13.7         -379 
 13.9         -379 
 14.1         -379 
 14.3         -349 
 14.5         -336 
 14.8         -339 
 15           -343 
 15.2         -347 
 15.3         -349 
 15.5         -351 
 15.7         -355 
 15.9         -356 
 16.1         -360 
 16.3         -362 
 16.5         -379 
 16.6         -379 
 16.8         -379 
 17.1         -379 
 17.3         -379 
 17.5         -379 
 17.6         -379 
 17.8         -329 
 18           -317 
 18.2         -317 
 18.3         -317 
 18.5         -319 
 18.6         -324 
 18.8         -326 
 19           -331 
 19.1         -331 
 19.3         -335 
 19.5         -338 
 19.6         -340 
 19.8         -343 
 20           -347 
 20.1         -349 
 20.3         -351 
 20.5         -353 
 20.6         -354 
 20.8         -359 
 21           -361 
 21.1         -364 
 21.4         -366 
 21.5         -368 
 21.6         -370 
 21.8         -372 
 22           -375 
 22.1         -376 
 22.3         -380 
 22.6         -380 
 22.8         -355 
 23           -355 
 23.1         -355 
 23.3         -357 
 23.6         -361 
 23.8         -381 
 24           -381 
 24.1         -381 
 24.3         -381 
 24.5         -381 
 24.6         -381 
 24.8         -381 
 25           -381 
 25.1         -381 
 25.3         -310 
 25.5         -310 
 25.6         -310 
 25.8         -315 
 26           -318 
 26.1         -319 
 26.3         -323 
 26.5         -326 
 26.6         -329 
 26.8         -332 
 27           -333 
 27.1         -336 
 27.3         -339 
 27.5         -344 
 27.6         -345 
 27.8         -349 
 28           -351 
 28.2         -353 
 28.3         -355 
 28.5         -357 
 28.6         -360 
 28.8         -361 
 29           -366 
 29.1         -366 
 29.3         -368 
 29.5         -371 
 29.6         -372 
 29.8         -376 
 30           -380 
 30.1         -380 
 30.4         -380 
 30.5         -376 
 30.6         -344 
 30.8         -336 
 31           -340 
 31.1         -342 
 31.3         -345 
 31.5         -348 
 31.6         -349 
 31.8         -352 
 32           -355 
 32.1         -357 
 32.2         -359 
 32.4         -361 
 32.5         -363 
 32.7         -366 
 32.9         -368 
 33           -370 
 33.1         -371 
 33.2         -372 
 33.4         -376 
 33.6         -378 
 33.7         -378 
 33.9         -378 
 34           -378 
 34.1         -334 
 34.2         -334 
 34.4         -334 
 34.5         -338 
 34.6         -339 
 34.8         -340 
 34.9         -344 
 35           -345 
 35.1         -346 
 35.2         -350 
 35.4         -351 
 35.5         -355 
 35.6         -357 
 35.7         -357 
 36           -362 
 36.1         -362 
 36.2         -363 
 36.4         -368 
 36.5         -368 
 36.6         -370 
 36.7         -373 
 37           -377 
 37.1         -379 
 37.2         -379 
 37.4         -379 
 37.5         -379 
 37.6         -368 
 37.7         -338 
 37.9         -338 
 38           -338 
 38.2         -339 
 38.4         -342 
 38.5         -344 
 38.6         -347 
 38.7         -348 
 38.9         -352 
 39           -353 
 39.1         -354 
 39.3         -357 
 39.4         -359 
 39.5         -359 
 39.6         -361 
 39.7         -380 
 39.9         -380 
 40           -380 
 40.1         -380 
 40.2         -380 
 40.4         -380 
 40.5         -380 
 40.6         -380 
 40.7         -380 
 40.9         -380 
 41           -380 
 41.1         -339 
 41.2         -315 
 41.5         -315 
 41.6         -315 
 41.7         -316 
 41.9         -323 
 42           -323 
 42.1         -326 
 42.2         -329 
 42.4         -330 
 42.5         -334 
 42.7         -336 
 42.9         -339 
 43           -341 
 43.1         -342 
 43.2         -343 
 43.4         -348 
 43.5         -348 
 43.6         -352 
 43.8         -353 
 43.9         -354 
 44           -357 
 44.1         -359 
 44.2         -360 
 44.4         -363 
 44.5         -364 
 44.6         -365 
 44.7         -367 
 44.9         -370 
 45           -370 
 45.1         -371 
 45.2         -373 
 45.4         -375 
 45.5         -377 
 45.6         -377 
 45.7         -377 
 45.9         -360 
 46.1         -350 
 46.2         -350 
 46.4         -350 
 46.5         -350 
 46.6         -352 
 46.7         -357 
 47           -362 
 47.1         -363 
 47.2         -363 
 47.4         -368 
 47.5         -368 
 47.6         -371 
 47.7         -373 
 47.9         -374 
 48           -378 
 48.2         -379 
 48.4         -379 
 48.5         -379 
 48.6         -358 
 48.7         -350 
 48.9         -350 
 49           -350 
 49.2         -353 
 49.4         -359 
 49.5         -360 
 49.6         -363 
 49.7         -363 
 49.9         -367 
 50           -369 
 50.2         -370 
 50.4         -374 
 50.5         -374 
 50.6         -376 
 50.7         -378 
 50.9         -378 
 51           -378 
 51.1         -337 
 51.2         -336 
 51.4         -336 
 51.5         -336 
 51.6         -336 
 51.7         -337 
 51.9         -343 
 52           -343 
 52.1         -345 
 52.2         -349 
 52.4         -349 
 52.5         -350 
 52.6         -355 
 52.7         -356 
 52.9         -361 
 53           -361 
 53.1         -361 
 53.2         -365 
 53.4         -367 
 53.6         -370 
 53.7         -371 
 53.9         -373 
 54           -376 
 54.1         -377 
 54.2         -378 
 54.4         -379 
 54.5         -379 
 54.6         -379 
 54.8         -352 
 54.9         -336 
 55           -336 
 55.1         -336 
 55.2         -336 
 55.4         -342 
 55.6         -344 
 55.7         -345 
 55.9         -349 
 56           -350 
 56.1         -351 
 56.2         -354 
 56.4         -357 
 56.5         -359 
 56.6         -361 
 56.8         -361 
 56.9         -362 
 57           -367 
 57.1         -367 
 57.2         -367 
 57.4         -372 
 57.5         -372 
 57.6         -373 
 57.7         -377 
 58           -378 
 58.1         -381 
 58.2         -381 
 58.4         -381 
 58.5         -335 
 58.6         -335 
 58.7         -335 
 59           -337 
 59.1         -341 
 59.2         -343 
 59.4         -346 
 59.5         -349 
 59.6         -350 
 59.7         -350 
 59.9         -355 
 60           -356 
 60.2         -357 
 60.4         -361 
 60.5         -362 
 60.6         -364 
 60.7         -366 
 60.9         -368 
 61           -370 
 61.1         -371 
 61.2         -372 
 61.4         -374 
 61.5         -376 
 61.6         -377 
 61.7         -378 
 61.9         -378 
 62           -378 
 62.1         -346 
 62.2         -346 
 62.4         -346 
 62.5         -346 
 62.6         -349 
 62.7         -350 
 62.9         -356 
 63           -356 
 63.1         -357 
 63.2         -361 
 63.4         -362 
 63.6         -366 
 63.7         -367 
 63.9         -368 
 64           -372 
 64.2         -373 
 64.4         -378 
 64.6         -378 
 64.8         -378 
 64.9         -378 
 65.1         -344 
 65.2         -342 
 65.4         -342 
 65.6         -345 
 65.8         -348 
 65.9         -349 
 66.1         -353 
 66.2         -355 
 66.4         -358 
 66.6         -362 
 66.7         -363 
 67           -367 
 67.2         -369 
 67.4         -373 
 67.6         -375 
 67.7         -377 
 67.9         -379 
 68.2         -379 
 68.4         -370 
 68.6         -342 
 68.7         -342 
 68.9         -343 
 69.2         -349 
 69.4         -350 
 69.6         -356 
 69.7         -356 
 69.9         -361 
 70.1         -365 
 70.2         -367 
 70.4         -368 
 70.6         -371 
 70.7         -373 
 70.9         -375 
 71.1         -378 
 71.2         -379 
 71.4         -379 
 71.6         -379 
 71.7         -340 
 71.9         -340 
 72.1         -342 
 72.2         -344 
 72.4         -346 
 72.6         -350 
 72.7         -351 
 72.9         -356 
 73.1         -358 
 73.2         -360 
 73.4         -363 
 73.6         -380 
 73.7         -380 
 73.9         -380 
 74.1         -380 
 74.2         -380 
 74.4         -380 
 74.6         -380 
 74.7         -380 
 74.9         -380 
 75.1         -311 
 75.2         -311 
 75.4         -311 
 75.6         -316 
 75.8         -318 
 75.9         -319 
 76.1         -324 
 76.2         -326 
 76.4         -329 
 76.6         -333 
 76.7         -334 
