Dotsspeed,Dotsdirec,Dotscoherence,DotsNum,corrAns,trialsRDK.thisRepN,trialsRDK.thisTrialN,trialsRDK.thisN,trialsRDK.thisIndex,thisRow.t,notes,WelcomScreen.started,Welcome.started,key_Welcome.started,WelcomScreen.stopped,key_Welcome.keys,key_Welcome.rt,key_Welcome.duration,blank500.started,textBlank500.started,polygon.started,textBlank500.stopped,polygon.stopped,blank500.stopped,RDKtrial.started,dots.started,key_resp.started,RDKtrial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,GoodbyeScreen.started,Goodbye.started,key_Goodbye.started,GoodbyeScreen.stopped,key_Goodbye.keys,key_Goodbye.rt,key_Goodbye.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.032305800006724894,0.04737420007586479,0.04737420007586479,1.1318604000844061,space,1.0785368999931961,None,,,,,,,,,,,,,,,,,,,,,,0d000721,001,2024-05-22_09h59.25.221,RDK,2023.2.3,59.999231990013016,2024-05-22 09h59.34.919239 +0800,
0.01,270,0.1,1,left,0,0,0,11,1.6546960000414401,,,,,,,,,6.648824300034903,6.665327500086278,6.665327500086278,1.6546960000414401,1.6546960000414401,7.148351000039838,1.6509420999791473,1.6546960000414401,1.6546960000414401,6.6476404999848455,None,0,,,,,,,,,,0d000721,001,2024-05-22_09h59.25.221,RDK,2023.2.3,59.999231990013016,2024-05-22 09h59.34.919239 +0800,
0.01,180,0.1,1,down,0,1,1,2,7.165138600044884,,,,,,,,,8.60104430001229,8.614692199975252,8.614692199975252,9.11476250004489,9.11476250004489,9.098732499987818,7.148807800025679,7.165138600044884,7.165138600044884,8.599926700000651,right,0,1.432755499961786,None,,,,,,,,0d000721,001,2024-05-22_09h59.25.221,RDK,2023.2.3,59.999231990013016,2024-05-22 09h59.34.919239 +0800,
0.05,180,0.8,1,left,0,2,2,6,9.11476250004489,,,,,,,,,9.766657800064422,9.781488500069827,9.781488500069827,10.281292999978177,10.281292999978177,10.265238999971189,9.099144199979492,9.11476250004489,9.11476250004489,9.765792799997143,left,1,0.635064100031741,None,,,,,,,,0d000721,001,2024-05-22_09h59.25.221,RDK,2023.2.3,59.999231990013016,2024-05-22 09h59.34.919239 +0800,
0.01,0,0.1,1,right,0,3,3,8,10.281292999978177,,,,,,,,,12.65112360008061,12.665559299988672,12.665559299988672,13.165009999996983,13.165009999996983,13.148763200035319,10.265641000005417,10.281292999978177,10.281292999978177,12.650321600027382,up,0,2.364958000020124,None,,,,,,,,0d000721,001,2024-05-22_09h59.25.221,RDK,2023.2.3,59.999231990013016,2024-05-22 09h59.34.919239 +0800,
0.01,180,0.1,1,down,0,4,4,10,13.165009999996983,,,,,,,,,15.649154999991879,15.664847300038673,15.664847300038673,16.164878500043415,16.164878500043415,16.148871900048107,13.149192900047638,13.165009999996983,13.165009999996983,15.648427300038747,left,0,2.4726597000844777,None,,,,,,,,0d000721,001,2024-05-22_09h59.25.221,RDK,2023.2.3,59.999231990013016,2024-05-22 09h59.34.919239 +0800,
0.01,270,0.1,1,left,0,5,5,3,16.164878500043415,,,,,,,,,17.447738700080663,17.463990200078115,17.463990200078115,17.96444030001294,17.96444030001294,17.947837800020352,16.14929370000027,16.164878500043415,16.164878500043415,17.447498699999414,down,0,1.2813363000750542,None,,,,,,,,0d000721,001,2024-05-22_09h59.25.221,RDK,2023.2.3,59.999231990013016,2024-05-22 09h59.34.919239 +0800,
0.05,90,0.8,1,right,0,6,6,13,17.96444030001294,,,,,,,,,18.581538300029933,18.59733340004459,18.59733340004459,19.09817810007371,19.09817810007371,19.08187950006686,17.94813510007225,17.96444030001294,17.96444030001294,18.581258699996397,up,0,0.6014938000589609,None,,,,,,,,0d000721,001,2024-05-22_09h59.25.221,RDK,2023.2.3,59.999231990013016,2024-05-22 09h59.34.919239 +0800,
0.05,0,0.8,1,up,0,7,7,12,19.09817810007371,,,,,,,,,19.548404500004835,19.564647400053218,19.564647400053218,20.06473039998673,20.06473039998673,20.04844799998682,19.082249899976887,19.09817810007371,19.09817810007371,19.548063799971715,right,0,0.4437316000694409,None,,,,,,,,0d000721,001,2024-05-22_09h59.25.221,RDK,2023.2.3,59.999231990013016,2024-05-22 09h59.34.919239 +0800,
0.05,90,0.8,1,right,0,8,8,5,20.06473039998673,,,,,,,,,20.634672800078988,20.648242500028573,20.648242500028573,21.148250100086443,21.148250100086443,21.131993300048634,20.0487372999778,20.06473039998673,20.06473039998673,20.633782600052655,up,0,0.5649492000229657,None,,,,,,,,0d000721,001,2024-05-22_09h59.25.221,RDK,2023.2.3,59.999231990013016,2024-05-22 09h59.34.919239 +0800,
0.05,0,0.8,1,up,0,9,9,4,21.148250100086443,,,,,,,,,21.63253599999007,21.648770999978296,21.648770999978296,22.14820400008466,22.14820400008466,22.132142400019802,21.132400200003758,21.148250100086443,21.148250100086443,21.63192379998509,right,0,0.47395820007659495,None,,,,,,,,0d000721,001,2024-05-22_09h59.25.221,RDK,2023.2.3,59.999231990013016,2024-05-22 09h59.34.919239 +0800,
0.05,180,0.8,1,left,0,10,10,14,22.14820400008466,,,,,,,,,22.584061300032772,22.598924400052056,22.598924400052056,23.098197699990124,23.098197699990124,23.081897200085223,22.132541900034994,22.14820400008466,22.14820400008466,22.582987200003117,left,1,0.41828630003146827,None,,,,,,,,0d000721,001,2024-05-22_09h59.25.221,RDK,2023.2.3,59.999231990013016,2024-05-22 09h59.34.919239 +0800,
0.01,0,0.1,1,right,0,11,11,0,23.098197699990124,,,,,,,,,24.065491800080054,24.081692600040697,24.081692600040697,24.58151110005565,24.58151110005565,24.565227100043558,23.08228400000371,23.098197699990124,23.098197699990124,24.06494090007618,right,1,0.9557282000314444,None,,,,,,,,0d000721,001,2024-05-22_09h59.25.221,RDK,2023.2.3,59.999231990013016,2024-05-22 09h59.34.919239 +0800,
0.01,90,0.1,1,up,0,12,12,9,24.58151110005565,,,,,,,,,27.46771500003524,27.481829300057143,27.481829300057143,27.981525400071405,27.981525400071405,27.965575900045224,24.56559130002279,24.58151110005565,24.58151110005565,27.46675999998115,up,1,2.880692399921827,None,,,,,,,,0d000721,001,2024-05-22_09h59.25.221,RDK,2023.2.3,59.999231990013016,2024-05-22 09h59.34.919239 +0800,
0.05,270,0.8,1,down,0,13,13,15,27.981525400071405,,,,,,,,,28.615752600017004,28.632005500025116,28.632005500025116,29.131656100042164,29.131656100042164,29.11558139999397,27.966003100038506,27.981525400071405,27.981525400071405,28.615149500081316,down,1,0.6169191999360919,None,,,,,,,,0d000721,001,2024-05-22_09h59.25.221,RDK,2023.2.3,59.999231990013016,2024-05-22 09h59.34.919239 +0800,
0.01,90,0.1,1,up,0,14,14,1,29.131656100042164,,,,,,,,,29.93229720008094,29.948933699983172,29.948933699983172,30.448476399993524,30.448476399993524,30.432305800030008,29.116003500064835,29.131656100042164,29.131656100042164,29.93172069999855,left,0,0.7943226000061259,None,,,,,,,,0d000721,001,2024-05-22_09h59.25.221,RDK,2023.2.3,59.999231990013016,2024-05-22 09h59.34.919239 +0800,
0.05,270,0.8,1,down,0,15,15,7,30.448476399993524,,,,,,,,,31.000054700067267,31.015106600010768,31.015106600010768,31.514868200058118,31.514868200058118,31.49879530002363,30.43273720005527,30.448476399993524,30.448476399993524,30.999230100074783,down,1,0.5334639999782667,None,,,,,,,,0d000721,001,2024-05-22_09h59.25.221,RDK,2023.2.3,59.999231990013016,2024-05-22 09h59.34.919239 +0800,
0.01,270,0.1,1,left,1,0,16,3,31.514868200058118,,,,,,,,,34.915681799990125,34.93144219997339,34.93144219997339,35.430878999992274,35.430878999992274,35.41453279997222,31.499211100046523,31.514868200058118,31.514868200058118,34.915095400065184,up,0,3.38746620004531,None,,,,,,,,0d000721,001,2024-05-22_09h59.25.221,RDK,2023.2.3,59.999231990013016,2024-05-22 09h59.34.919239 +0800,
0.01,0,0.1,1,right,1,1,17,0,35.430878999992274,,,,,,,,,37.41455540002789,37.431021000025794,37.431021000025794,,,37.91491060005501,35.4147162999725,35.430878999992274,35.430878999992274,37.41436350008007,up,0,1.9827860000077635,None,,,,,,,,0d000721,001,2024-05-22_09h59.25.221,RDK,2023.2.3,59.999231990013016,2024-05-22 09h59.34.919239 +0800,
0.01,180,0.1,1,down,1,2,18,10,37.93179479998071,,,,,,,,,38.86549560003914,38.881642000051215,38.881642000051215,39.381441900040954,39.381441900040954,39.36471880006138,37.9152775000548,37.93179479998071,37.93179479998071,38.86496779997833,left,0,0.9224459000397474,None,,,,,,,,0d000721,001,2024-05-22_09h59.25.221,RDK,2023.2.3,59.999231990013016,2024-05-22 09h59.34.919239 +0800,
