type,word,colour,correct_key,trialsStroop.thisRepN,trialsStroop.thisTrialN,trialsStroop.thisN,trialsStroop.thisIndex,thisRow.t,notes,WelcomeScreen.started,WelcomeMessage.started,keywelcome.started,WelcomeScreen.stopped,keywelcome.keys,keywelcome.rt,keywelcome.duration,blank500.started,textBlank500.started,polygon.started,textBlank500.stopped,polygon.stopped,blank500.stopped,Strooptrial.started,textStroopWord.started,keyStroop.started,Strooptrial.stopped,keyStroop.keys,keyStroop.corr,keyStroop.rt,keyStroop.duration,GoodbyeScreen.started,Goodbye.started,key_Goodbye.started,GoodbyeScreen.stopped,key_Goodbye.keys,key_Goodbye.rt,key_Goodbye.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.029483400052413344,0.044524500030092895,0.044524500030092895,1.9627287000184879,space,1.9107164000160992,None,,,,,,,,,,,,,,,,,,,,,,0d000721,002,2024-05-22_09h57.06.000,stroop,2023.2.3,60.00214807928742,2024-05-22 09h57.20.551340 +0800,
congruent,YELLOW,yellow,y,0,0,0,11,2.478953600046225,,,,,,,,,3.264270900050178,3.278271700022742,3.278271700022742,3.778714400017634,3.778714400017634,3.762770800036378,2.4734081000788137,2.478953600046225,2.478953600046225,3.2634224999928847,y,1,0.7720502000302076,None,,,,,,,,0d000721,002,2024-05-22_09h57.06.000,stroop,2023.2.3,60.00214807928742,2024-05-22 09h57.20.551340 +0800,
congruent,YELLOW,yellow,y,0,1,1,19,3.778714400017634,,,,,,,,,4.296235200017691,4.310826200060546,4.310826200060546,4.811609300086275,4.811609300086275,4.79565020010341,3.763167900033295,3.778714400017634,3.778714400017634,4.295721500064246,y,1,0.511954199988395,None,,,,,,,,0d000721,002,2024-05-22_09h57.06.000,stroop,2023.2.3,60.00214807928742,2024-05-22 09h57.20.551340 +0800,
congruent,RED,red,r,0,2,2,8,4.811609300086275,,,,,,,,,5.463106300099753,5.478219200042076,5.478219200042076,5.978727500070818,5.978727500070818,5.962653900031,4.796237100032158,4.811609300086275,4.811609300086275,5.462641700054519,r,1,0.6475179000990465,None,,,,,,,,0d000721,002,2024-05-22_09h57.06.000,stroop,2023.2.3,60.00214807928742,2024-05-22 09h57.20.551340 +0800,
congruent,RED,red,r,0,3,3,0,5.978727500070818,,,,,,,,,6.43001400004141,6.445365900057368,6.445365900057368,6.9450083000119776,6.9450083000119776,6.929550700006075,5.963040400063619,5.978727500070818,5.978727500070818,6.429585800040513,r,1,0.4405982999596745,None,,,,,,,,0d000721,002,2024-05-22_09h57.06.000,stroop,2023.2.3,60.00214807928742,2024-05-22 09h57.20.551340 +0800,
congruent,GREEN,green,g,0,4,4,18,6.9450083000119776,,,,,,,,,7.513128700084053,7.528247400070541,7.528247400070541,8.028109600069001,8.028109600069001,8.011845000088215,6.929931099992245,6.9450083000119776,6.9450083000119776,7.512721300008707,g,1,0.5616531999548897,None,,,,,,,,0d000721,002,2024-05-22_09h57.06.000,stroop,2023.2.3,60.00214807928742,2024-05-22 09h57.20.551340 +0800,
congruent,BLUE,blue,b,0,5,5,1,8.028109600069001,,,,,,,,,8.513107100035995,8.52822840004228,8.52822840004228,9.028580800048076,9.028580800048076,9.012078700005077,8.012121300096624,8.028109600069001,8.028109600069001,8.512625400093384,b,1,0.4707621999550611,None,,,,,,,,0d000721,002,2024-05-22_09h57.06.000,stroop,2023.2.3,60.00214807928742,2024-05-22 09h57.20.551340 +0800,
incongruent,GREEN,red,r,0,6,6,22,9.028580800048076,,,,,,,,,9.713839300093241,9.756424500024877,9.756424500024877,,,10.228950800024904,9.01234740007203,9.028580800048076,9.028580800048076,9.713467700057663,r,1,0.6702948999591172,None,,,,,,,,0d000721,002,2024-05-22_09h57.06.000,stroop,2023.2.3,60.00214807928742,2024-05-22 09h57.20.551340 +0800,
congruent,BLUE,blue,b,0,7,7,9,10.245037600048818,,,,,,,,,11.112770100007765,11.128103800001554,11.128103800001554,11.628630400053225,11.628630400053225,11.61297740007285,10.229400300071575,10.245037600048818,10.245037600048818,11.112528500030749,b,1,0.8618670998839661,None,,,,,,,,0d000721,002,2024-05-22_09h57.06.000,stroop,2023.2.3,60.00214807928742,2024-05-22 09h57.20.551340 +0800,
incongruent,RED,yellow,y,0,8,8,20,11.628630400053225,,,,,,,,,13.149360300041735,13.161533600068651,13.161533600068651,13.662180799990892,13.662180799990892,13.646145100006834,11.613371000043117,11.628630400053225,11.628630400053225,13.148539500078186,y,1,1.5106111000059173,None,,,,,,,,0d000721,002,2024-05-22_09h57.06.000,stroop,2023.2.3,60.00214807928742,2024-05-22 09h57.20.551340 +0800,
