Condition,Correct,Reaction_Time
A,0,1.4327555
B,1,0.6350641
A,0,2.364958
A,0,2.4726597
A,0,1.2813363
B,0,0.6014938
B,0,0.4437316
B,0,0.5649492
B,0,0.4739582
B,1,0.4182863
A,1,0.9557282
A,1,2.8806924
B,1,0.6169192
A,0,0.7943226
B,1,0.533464
A,0,3.3874662
A,0,1.982786
A,0,0.9224459
B,0,0.5764216
B,1,0.4686162
B,0,0.4130733
B,0,0.4222798
A,1,0.799939
A,0,2.6042149
B,1,0.5096182
A,1,1.4122736
A,0,0.6955465
B,1,0.551303
B,0,0.4099441
B,1,0.4850827
A,0,4.6328692
B,1,0.494813
A,0,0.9328364
A,0,1.0187483
B,0,0.6374496
B,1,0.4307782
A,1,2.0403428
B,1,0.483177
A,0,0.6973659
B,0,0.633898
A,0,0.8426581
A,0,3.6680806
A,0,0.73193
B,0,0.5053494
B,0,0.3680157
B,0,0.3799889
A,1,0.711816
B,0,0.406343
A,0,0.6741302
A,0,0.4657327
B,0,0.5855919
A,0,0.8287965
A,0,0.6942657
B,0,0.4379532
B,1,0.415752
B,1,0.4747026
B,1,0.4512812
A,1,0.6517401
B,0,0.4280513
A,1,0.5670081
A,0,0.6504175
B,1,0.5066789
A,0,0.9294427
A,0,0.7047471
A,1,1.135679
B,0,0.4928525
A,0,1.7635914
A,0,0.9380546
A,1,2.4620278
B,0,0.4384976
B,1,0.4643102
A,1,0.7119648
B,0,0.4705522
B,1,0.3829031
A,1,0.666929
A,0,1.7074262
B,1,0.4665552
B,0,0.4591279
B,1,0.4666717
A,1,2.1066296
A,0,0.6418286
B,1,0.4989514
B,0,0.4103929
B,1,0.405318
A,0,3.3271141
A,1,3.1094232
A,0,0.9482612
B,1,0.4893716
B,0,0.5925957
B,0,0.436354
A,0,1.101908
A,1,2.412365
B,1,0.4871505
A,0,1.022689
B,0,0.5440135
B,1,0.4380458
B,0,0.3830195
A,0,2.6831531
A,0,2.3465511
B,0,0.9983202
A,1,3.3377456
A,0,1.5519558
B,1,0.4805893
B,0,0.4083762
B,0,0.4669333
A,0,1.0508761
B,1,0.5553057
A,0,2.0476888
A,0,2.2336628
B,0,0.570706
A,0,0.7029953
B,1,0.5259119
A,1,0.6592822
B,0,0.5477955
B,1,0.633099
B,1,0.5226173
B,0,0.4333739
B,1,0.4428112
A,0,4.7720853
A,1,1.0400796
A,1,2.4976116
A,1,3.5764295
B,0,0.4523288
B,0,0.4287708
A,0,1.2548859
A,0,1.1837152
