type,keyStroop.corr,keyStroop.rt
congruent,1,0.7720502
congruent,1,0.5119542
congruent,1,0.6475179
congruent,1,0.4405983
congruent,1,0.5616532
congruent,1,0.4707622
incongruent,1,0.6702949
congruent,1,0.8618671
incongruent,1,1.5106111
congruent,1,0.9968592
congruent,1,0.6646119
incongruent,1,0.5200773
incongruent,1,0.7668001
incongruent,1,0.86039
congruent,1,0.8694714
incongruent,1,0.4599375
incongruent,1,0.5814965
congruent,1,0.5370268
incongruent,0,0.4621138
incongruent,1,1.1275038
incongruent,1,0.6131359
incongruent,1,1.2395719
incongruent,1,1.0094747
congruent,1,0.483578
congruent,1,0.7962068
incongruent,1,0.5033704
congruent,1,0.494114
congruent,1,0.5973432
incongruent,0,0.9202356
incongruent,1,1.9345158
incongruent,1,2.1706462
incongruent,1,1.1358391
congruent,1,0.5570597
incongruent,1,1.4093268
congruent,1,0.4527652
incongruent,1,0.5729282
incongruent,1,0.7372513
congruent,1,1.1177801
incongruent,1,1.3409745
congruent,1,0.9940317
congruent,1,0.5171366
incongruent,0,0.5391662
congruent,1,0.6564703
congruent,1,0.7688109
incongruent,1,0.7015934
incongruent,1,2.2351515
congruent,1,0.5733783
congruent,1,0.7861915
congruent,1,2.0919862
congruent,1,0.908007
incongruent,1,1.0903525
congruent,1,0.7689113
incongruent,1,1.0849732
congruent,1,0.7005429
congruent,1,0.9386294
congruent,1,0.6239757
incongruent,1,1.3458636
congruent,1,1.2382627
incongruent,1,1.1357892
incongruent,1,1.4219804
congruent,1,1.0725305
congruent,1,0.6239333
incongruent,1,1.2495099
congruent,1,0.907125
incongruent,1,1.1198183
incongruent,1,0.9119326
incongruent,1,1.5903358
incongruent,1,1.3297484
incongruent,1,1.1760242
congruent,1,0.8363406
congruent,1,0.572895
incongruent,1,0.8164667
incongruent,1,0.6515226
incongruent,1,1.2921917
incongruent,1,1.075317
congruent,1,0.6114643
incongruent,1,0.6136016
congruent,1,1.1764063
incongruent,1,0.6452124
incongruent,1,1.0302576
incongruent,1,0.9202908
congruent,1,0.7341411
congruent,1,0.6515971
congruent,1,0.4598169
incongruent,1,0.8363979
congruent,1,0.7823767
incongruent,1,0.9386378
congruent,1,1.0235807
congruent,1,0.5931802
congruent,1,0.8361712
incongruent,1,1.2949315
congruent,1,0.5654981
incongruent,1,0.7139515
congruent,1,0.8085989
incongruent,1,0.899549
congruent,1,1.0346524
